,IncidentsTotal,SeverityScore,PercentOfVehicles,AvgAcceleration,LATITUDE,LONGITUDE,COUNT,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,Cluster,TIME
301,25.0,0.018,0.04,0.548,43.681,-79.476,7,25 to 29,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,Municipal Transit Bus (TTC),7.0,1344.0
302,25.0,0.018,0.04,0.548,43.681,-79.476,7,40 to 44,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,"Automobile, Station Wagon",2.0,1344.0
303,25.0,0.018,0.04,0.548,43.681,-79.476,7,60 to 64,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",5.0,1344.0
304,25.0,0.018,0.04,0.548,43.681,-79.476,7,60 to 64,Wet,Clear,"Dark, artificial",Yield Sign,Failed to Yield Right of Way,Normal,Truck-Tractor,5.0,1344.0
305,4.0,0.013,0.023,0.602,43.681,-79.417,3,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",0.0,1723.3333333333333
306,4.0,0.013,0.023,0.602,43.681,-79.417,3,55 to 59,Other,Other,Dark,No Control,Other,Unknown,Other,3.0,1723.3333333333333
307,4.0,0.013,0.023,0.602,43.681,-79.417,3,65 to 69,Wet,Rain,Dark,No Control,Other,"Ability Impaired, Alcohol","Automobile, Station Wagon",4.0,1723.3333333333333
308,5.0,0.011,0.016,0.47,43.681,-79.391,2,unknown,Dry,Clear,Daylight,Traffic Signal,Other,Unknown,"Automobile, Station Wagon",1.0,1600.0
309,7.0,0.004,0.0,0.127,43.681,-79.362,3,20 to 24,Wet,Clear,Dark,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",4.0,1377.6666666666667
310,7.0,0.004,0.0,0.127,43.681,-79.362,3,25 to 29,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Unknown,"Automobile, Station Wagon",9.0,1377.6666666666667
311,7.0,0.004,0.0,0.127,43.681,-79.362,3,35 to 39,Dry,Clear,Daylight,No Control,Lost control,Normal,Motorcycle,4.0,1377.6666666666667
312,3.0,0.004,0.045,0.449,43.681,-79.332,2,40 to 44,Dry,Clear,Dark,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",7.0,1976.5
313,3.0,0.004,0.045,0.449,43.681,-79.332,2,45 to 49,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,1976.5
314,13.0,0.012,0.043,0.393,43.681,-79.311,1,20 to 24,Wet,Rain,Dark,No Control,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",0.0,150.0
315,11.0,0.015,0.037,0.452,43.682,-79.477,1,15 to 19,Wet,Rain,Daylight,No Control,Other,Inattentive,"Automobile, Station Wagon",2.0,1139.0
316,3.0,0.005,0.005,0.561,43.683,-79.498,1,75 to 79,Dry,Clear,Daylight,No Control,Lost control,Unknown,"Automobile, Station Wagon",3.0,1100.0
317,17.0,0.015,0.056,0.438,43.683,-79.48,1,20 to 24,Dry,Clear,Daylight,No Control,Following too Close,Inattentive,"Automobile, Station Wagon",2.0,1055.0
318,15.5,0.014,0.043,0.65,43.683,-79.418,2,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Municipal Transit Bus (TTC),7.0,1956.0
319,3.0,0.009,0.056,0.469,43.684,-79.483,1,20 to 24,Dry,Clear,Daylight,Traffic Signal,Following too Close,Inattentive,"Automobile, Station Wagon",7.0,1110.0
320,30.0,0.046,0.024,0.652,43.685,-79.446,2,60 to 64,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",6.0,1205.0
321,3.0,0.02,0.104,0.591,43.686,-79.492,1,25 to 29,Slush,Freezing Rain,Dark,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",2.0,2337.0
322,6.0,0.007,0.036,0.301,43.686,-79.313,1,30 to 34,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,Motorcycle,9.0,2335.0
323,6.0,0.007,0.036,0.301,43.686,-79.313,1,65 to 69,Wet,Rain,"Dark, artificial",No Control,Improper Turn,Normal,"Automobile, Station Wagon",0.0,2335.0
324,4.0,0.004,0.039,0.535,43.687,-79.271,1,25 to 29,Dry,Clear,Daylight,No Control,Improper Lane Change,Inattentive,Motorcycle,2.0,1730.0
325,3.0,0.001,0.012,0.561,43.691,-79.57,7,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,747.6
326,3.0,0.001,0.012,0.561,43.691,-79.57,7,40 to 44,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",6.0,747.6
327,3.0,0.001,0.012,0.561,43.691,-79.57,7,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,Passenger Van,7.0,747.6
328,3.0,0.001,0.012,0.561,43.691,-79.57,7,60 to 64,Wet,Rain,Dark,Traffic Signal,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",6.0,747.6
329,3.0,0.001,0.012,0.561,43.691,-79.57,7,75 to 79,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",6.0,747.6
330,24.5,0.010499999999999999,0.047,0.445,43.692,-79.571,1,35 to 39,Wet,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",6.0,1232.0
331,16.0,0.048,0.01,0.461,43.692,-79.44,3,60 to 64,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",7.0,1621.5
332,16.0,0.048,0.01,0.461,43.692,-79.44,3,65 to 69,Wet,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",7.0,1621.5
333,32.0,0.045,0.114,0.71,43.693,-79.462,1,25 to 29,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Truck - Open,7.0,1048.0
334,3.0,0.008,0.019,0.619,43.693,-79.449,1,55 to 59,Dry,Clear,Daylight,No Control,Following too Close,Inattentive,Pick Up Truck,2.0,1513.0
335,10.0,0.018,0.083,0.372,43.693,-79.422,3,25 to 29,Dry,Clear,"Dark, artificial",No Control,Following too Close,Normal,Pick Up Truck,4.0,655.0
336,10.0,0.018,0.083,0.372,43.693,-79.422,3,40 to 44,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,655.0
337,10.0,0.018,0.083,0.372,43.693,-79.422,3,55 to 59,Dry,Clear,Dark,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,655.0
338,14.0,0.012,0.016,0.402,43.694,-79.486,4,40 to 44,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,840.0
339,14.0,0.012,0.016,0.402,43.694,-79.486,4,40 to 44,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,840.0
340,14.0,0.012,0.016,0.402,43.694,-79.486,4,65 to 69,Loose Snow,Snow,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",7.0,840.0
341,3.0,0.009,0.059,0.457,43.694,-79.328,1,75 to 79,Dry,Clear,"Dusk, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",7.0,1840.0
342,4.0,0.005,0.027,0.486,43.696,-79.546,3,30 to 34,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1.0,2153.0
343,8.0,0.015,0.026,0.817,43.696,-79.475,1,30 to 34,Dry,Clear,Daylight,Traffic Signal,Exceeding Speed Limit,"Ability Impaired, Alcohol",Motorcycle,0.0,1912.0
344,6.0,0.01,0.057,0.729,43.696,-79.45,2,40 to 44,Wet,Rain,Dusk,Stop Sign,Improper Turn,Normal,"Automobile, Station Wagon",1.0,1915.0
345,6.0,0.01,0.057,0.729,43.696,-79.45,2,50 to 54,Dry,Clear,Daylight,Stop Sign,Improper Turn,Normal,"Automobile, Station Wagon",1.0,1915.0
346,8.0,0.03,0.04,0.601,43.696,-79.447,2,20 to 24,Dry,"Fog, Mist, Smoke, Dust",Dark,No Control,Other,Had Been Drinking,"Automobile, Station Wagon",4.0,345.0
347,57.0,0.02,0.048,0.861,43.696,-79.353,1,15 to 19,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Normal,"Automobile, Station Wagon",0.0,237.0
348,7.0,0.009,0.047,0.425,43.699,-79.587,1,60 to 64,Dry,Clear,Daylight,Traffic Signal,Other,Normal,"Automobile, Station Wagon",1.0,610.0
349,3.0,0.006,0.03,0.387,43.699,-79.534,2,20 to 24,Dry,Clear,Dark,Traffic Signal,Lost control,Fatigue,"Automobile, Station Wagon",5.0,1123.5
350,3.0,0.006,0.03,0.387,43.699,-79.534,2,25 to 29,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1123.5
351,3.0,0.005,0.04,0.575,43.699,-79.476,1,45 to 49,Dry,Clear,Daylight,No Control,Lost control,Inattentive,"Automobile, Station Wagon",3.0,1755.0
352,29.0,0.006,0.045,0.425,43.699,-79.338,1,20 to 24,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",0.0,1555.0
353,4.0,0.008,0.032,0.3,43.7,-79.516,7,30 to 34,Wet,Rain,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",6.0,845.3333333333334
354,4.0,0.008,0.032,0.3,43.7,-79.516,7,55 to 59,Dry,Clear,"Dawn, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,845.3333333333334
355,4.0,0.008,0.032,0.3,43.7,-79.516,7,75 to 79,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,Pick Up Truck,7.0,845.3333333333334
356,7.0,0.013,0.045,0.548,43.7,-79.431,1,55 to 59,Wet,Rain,"Dark, artificial",Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1928.0
357,4.0,0.007,0.036,0.441,43.7,-79.387,1,25 to 29,Dry,Clear,Daylight,No Control,Improper Passing,Normal,"Automobile, Station Wagon",4.0,753.0
358,11.0,0.005,0.023,0.328,43.7,-79.337,4,30 to 34,Dry,Clear,Dark,No Control,Other,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",3.0,1385.0
359,11.0,0.005,0.023,0.328,43.7,-79.337,4,30 to 34,Dry,Clear,Daylight,No Control,<Null>,<Null>,"Automobile, Station Wagon",3.0,1385.0
360,11.0,0.005,0.023,0.328,43.7,-79.337,4,35 to 39,Dry,Clear,Daylight,No Control,Lost control,Inattentive,"Automobile, Station Wagon",3.0,1385.0
361,11.0,0.005,0.023,0.328,43.7,-79.337,4,50 to 54,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,Truck (other),0.0,1385.0
362,9.0,0.006,0.066,0.411,43.7,-79.319,3,65 to 69,Wet,Snow,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",6.0,1351.0
363,3.0,0.016,0.037,0.595,43.701,-79.52,1,30 to 34,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,Delivery Van,8.0,830.0
364,5.0,0.02,0.029,0.623,43.701,-79.503,1,80 to 84,Dry,Clear,Daylight,No Control,Improper Turn,Unknown,"Automobile, Station Wagon",3.0,1100.0
365,7.0,0.003,0.018,0.558,43.701,-79.336,1,50 to 54,Slush,Rain,Daylight,No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",0.0,1458.0
366,3.0,0.014,0.06,0.479,43.702,-79.503,5,20 to 24,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",5.0,849.0
367,3.0,0.014,0.06,0.479,43.702,-79.503,5,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,849.0
368,3.0,0.014,0.06,0.479,43.702,-79.503,5,65 to 69,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Lane Change,Inattentive,"Automobile, Station Wagon",1.0,849.0
369,6.0,0.02,0.041,0.484,43.702,-79.359,1,20 to 24,Dry,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,"Automobile, Station Wagon",9.0,530.0
370,138.0,0.142,0.032,0.58,43.703,-79.452,3,45 to 49,Slush,Snow,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",6.0,1679.0
371,138.0,0.142,0.032,0.58,43.703,-79.452,3,50 to 54,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Inattentive,Truck (other),2.0,1679.0
372,13.0,0.02,0.054,0.533,43.703,-79.36,1,unknown,Dry,Clear,Daylight,Traffic Signal,Following too Close,Unknown,"Automobile, Station Wagon",1.0,915.0
373,9.0,0.016,0.033,0.468,43.704,-79.55,1,60 to 64,Dry,Clear,Dark,Stop Sign,Improper Turn,Inattentive,"Automobile, Station Wagon",2.0,1941.0
374,9.0,0.018,0.059,0.795,43.704,-79.504,3,50 to 54,Dry,Clear,"Dark, artificial",Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,2127.5
375,9.0,0.018,0.059,0.795,43.704,-79.504,3,unknown,Dry,Clear,Dark,No Control,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",2.0,2127.5
376,12.0,0.051,0.056,0.93,43.704,-79.41,3,40 to 44,Dry,Clear,Daylight,No Control,Other,Inattentive,"Automobile, Station Wagon",2.0,1122.0
377,12.0,0.051,0.056,0.93,43.704,-79.41,3,90 to 94,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,1122.0
378,3.0,0.011,0.053,0.569,43.708,-79.591,1,20 to 24,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Unknown,"Automobile, Station Wagon",9.0,203.0
379,11.0,0.014,0.068,0.565,43.708,-79.478,7,15 to 19,Dry,Clear,Daylight,Traffic Signal,Following too Close,Normal,"Automobile, Station Wagon",1.0,1012.2857142857144
380,11.0,0.014,0.068,0.565,43.708,-79.478,7,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",7.0,1012.2857142857144
381,11.0,0.014,0.068,0.565,43.708,-79.478,7,20 to 24,Dry,Clear,Dawn,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",6.0,1012.2857142857144
382,11.0,0.014,0.068,0.565,43.708,-79.478,7,30 to 34,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,Truck - Open,1.0,1012.2857142857144
383,11.0,0.014,0.068,0.565,43.708,-79.478,7,40 to 44,Wet,Rain,Daylight,Traffic Signal,Speed too Fast For Condition,Normal,Truck - Dump,0.0,1012.2857142857144
384,11.0,0.014,0.068,0.565,43.708,-79.478,7,55 to 59,Wet,Rain,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1012.2857142857144
385,11.0,0.014,0.068,0.565,43.708,-79.478,7,60 to 64,Wet,Snow,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Truck - Tank,7.0,1012.2857142857144
386,6.0,0.02,0.049,0.702,43.708,-79.398,3,unknown,Wet,Rain,Dark,No Control,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",2.0,2208.0
387,23.0,0.031,0.041,0.685,43.708,-79.39,2,25 to 29,Wet,Clear,Daylight,No Control,Lost control,Unknown,"Automobile, Station Wagon",9.0,1080.0
388,23.0,0.031,0.041,0.685,43.708,-79.39,2,50 to 54,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,Municipal Transit Bus (TTC),5.0,1080.0
389,3.0,0.008,0.015,0.493,43.708,-79.376,3,15 to 19,Dry,Clear,"Dark, artificial",Pedestrian Crossover,Failed to Yield Right of Way,Inattentive,Passenger Van,2.0,1766.0
390,3.0,0.008,0.015,0.493,43.708,-79.376,3,75 to 79,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,1766.0
391,3.0,0.007,0.036,0.688,43.709,-79.466,1,35 to 39,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,2007.0
392,10.0,0.013,0.05,0.752,43.709,-79.41,1,20 to 24,Dry,Clear,Dark,Stop Sign,Exceeding Speed Limit,Normal,"Automobile, Station Wagon",0.0,2005.0
393,10.0,0.013,0.05,0.752,43.709,-79.41,1,35 to 39,Dry,Clear,Dark,Stop Sign,Failed to Yield Right of Way,Normal,Truck - Open,0.0,2005.0
394,20.0,0.024,0.073,0.502,43.709,-79.296,1,45 to 49,Wet,Clear,Daylight,No Control,Improper Turn,Normal,"Automobile, Station Wagon",8.0,935.0
395,30.0,0.064,0.014,0.326,43.71,-79.579,1,50 to 54,Dry,Clear,Daylight,No Control,Other,Normal,"Truck - Closed (Blazer, etc)",8.0,1730.0
396,26.0,0.023,0.055,0.48,43.711,-79.535,2,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",6.0,1521.0
397,26.0,0.023,0.055,0.48,43.711,-79.535,2,45 to 49,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,1521.0
398,47.0,0.0305,0.038,0.526,43.711,-79.467,1,85 to 89,Dry,Clear,Daylight,No Control,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",3.0,630.0
399,11.0,0.016,0.024,0.493,43.711,-79.411,2,20 to 24,Dry,Clear,Daylight,No Control,Improper Passing,Normal,"Automobile, Station Wagon",4.0,1358.0
400,11.0,0.016,0.024,0.493,43.711,-79.411,2,25 to 29,Dry,Clear,Daylight,No Control,<Null>,<Null>,Moped,4.0,1358.0
401,11.0,0.016,0.024,0.493,43.711,-79.411,2,60 to 64,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",4.0,1358.0
402,3.0,0.008,0.02,0.38,43.711,-79.399,2,25 to 29,Dry,Clear,Dusk,Traffic Controller,Failed to Yield Right of Way,Unknown,Pick Up Truck,2.0,1501.5
403,3.0,0.008,0.02,0.38,43.711,-79.399,2,55 to 59,Dry,Clear,Daylight,No Control,Improper Turn,Unknown,Truck - Open,3.0,1501.5
404,3.0,0.016,0.042,0.492,43.711,-79.391,2,15 to 19,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,1627.5
405,3.0,0.016,0.042,0.492,43.711,-79.391,2,80 to 84,Dry,Clear,Daylight,Traffic Signal,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",1.0,1627.5
406,29.0,0.04,0.037,0.607,43.711,-79.377,3,20 to 24,Wet,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1.0,1297.0
407,29.0,0.04,0.037,0.607,43.711,-79.377,3,40 to 44,Wet,Snow,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",6.0,1297.0
408,29.0,0.04,0.037,0.607,43.711,-79.377,3,60 to 64,Loose Snow,Snow,Daylight,Traffic Signal,Lost control,Normal,"Automobile, Station Wagon",1.0,1297.0
409,3.0,0.006,0.101,0.49,43.711,-79.248,2,85 to 89,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",7.0,1527.0
410,28.0,0.055,0.055,0.512,43.712,-79.58,1,40 to 44,Dry,Clear,Daylight,No Control,Other,Inattentive,"Automobile, Station Wagon",3.0,731.0
411,3.0,0.007,0.086,0.468,43.712,-79.565,1,20 to 24,Dry,Clear,Dark,Stop Sign,Improper Turn,Normal,"Automobile, Station Wagon",1.0,114.0
412,7.0,0.018,0.028,0.478,43.712,-79.428,1,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1840.0
413,3.0,0.004,0.046,0.465,43.713,-79.377,1,50 to 54,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,2035.0
414,34.0,0.093,0.04,0.736,43.713,-79.367,4,45 to 49,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1297.5
415,34.0,0.093,0.04,0.736,43.713,-79.367,4,80 to 84,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1297.5
416,66.0,0.024,0.056,0.478,43.714,-79.581,1,80 to 84,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2.0,1105.0
417,118.0,0.006,0.007,0.45,43.714,-79.536,1,65 to 69,Dry,Clear,Daylight,Traffic Signal,Wrong Way on One Way Road,Unknown,"Automobile, Station Wagon",1.0,950.0
418,3.0,0.002,0.029,0.364,43.714,-79.454,1,55 to 59,Dry,Clear,Dark,No Control,Other,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",3.0,2320.0
419,7.0,0.013,0.053,0.447,43.714,-79.359,2,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Unknown,Motorcycle,6.0,1604.0
420,7.0,0.013,0.053,0.447,43.714,-79.359,2,45 to 49,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1604.0
421,6.0,0.009,0.044,0.349,43.714,-79.336,2,15 to 19,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,Motorcycle,1.0,1601.0
422,19.0,0.019,0.086,0.467,43.714,-79.271,1,unknown,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",5.0,2204.0
423,10.0,0.011,0.028,0.403,43.717,-79.595,3,35 to 39,Dry,Clear,"Dusk, artificial",Traffic Signal,Lost control,Unknown,Motorcycle,3.0,56.5
424,10.0,0.011,0.028,0.403,43.717,-79.595,3,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Speed too Fast For Condition,Unknown,Truck-Tractor,9.0,56.5
425,38.0,0.016,0.049,0.417,43.717,-79.537,2,60 to 64,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",5.0,643.0
426,9.0,0.006,0.003,0.743,43.717,-79.507,1,30 to 34,Dry,Clear,Dark,No Control,Lost control,Fatigue,<Null>,3.0,351.0
427,9.0,0.014,0.047,0.802,43.717,-79.413,1,50 to 54,Dry,Clear,Daylight,No Control,Lost control,Normal,"Automobile, Station Wagon",3.0,1158.0
428,7.0,0.009,0.008,0.834,43.718,-79.445,1,30 to 34,Dry,Clear,Daylight,No Control,Following too Close,Normal,"Automobile, Station Wagon",4.0,1646.0
429,6.0,0.002,0.01,0.379,43.718,-79.327,1,20 to 24,Dry,Clear,Daylight,No Control,Exceeding Speed Limit,Unknown,"Automobile, Station Wagon",9.0,2030.0
430,10.0,0.013,0.034,0.437,43.719,-79.508,4,25 to 29,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,Passenger Van,7.0,1241.6666666666667
431,10.0,0.013,0.034,0.437,43.719,-79.508,4,55 to 59,<Null>,<Null>,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,Passenger Van,5.0,1241.6666666666667
432,10.0,0.013,0.034,0.437,43.719,-79.508,4,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,1241.6666666666667
433,6.0,0.014,0.021,0.36,43.719,-79.401,1,unknown,Dry,Clear,"Dark, artificial",Traffic Signal,<Null>,<Null>,Municipal Transit Bus (TTC),1.0,314.0
434,4.0,0.022,0.037,0.79,43.719,-79.284,2,15 to 19,Dry,Clear,Daylight,No Control,Lost control,Inattentive,"Automobile, Station Wagon",2.0,1730.5
435,4.0,0.022,0.037,0.79,43.719,-79.284,2,25 to 29,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,"Ability Impaired, Alcohol","Automobile, Station Wagon",2.0,1730.5
436,38.0,0.056,0.045,0.933,43.721,-79.537,1,65 to 69,Dry,Clear,Daylight,No Control,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",3.0,1720.0
437,25.0,0.027,0.049,0.505,43.721,-79.456,2,35 to 39,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,1964.0
438,25.0,0.027,0.049,0.505,43.721,-79.456,2,45 to 49,Wet,Rain,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,1964.0
439,3.0,0.011,0.019,0.622,43.722,-79.469,1,30 to 34,Wet,Snow,Daylight,No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",0.0,1405.0
440,17.0,0.019,0.059,0.49,43.722,-79.456,1,unknown,Wet,Clear,Dark,No Control,<Null>,<Null>,"Automobile, Station Wagon",3.0,628.0
441,6.0,0.002,0.002,0.31,43.722,-79.33,1,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,Unknown,"Automobile, Station Wagon",3.0,2207.0
442,6.0,0.002,0.002,0.31,43.722,-79.33,1,unknown,Dry,Clear,"Dark, artificial",No Control,<Null>,<Null>,"Automobile, Station Wagon",3.0,2207.0
443,9.0,0.019,0.102,0.404,43.723,-79.339,1,55 to 59,Dry,Clear,Daylight,No Control,Following too Close,Inattentive,"Automobile, Station Wagon",2.0,1630.0
444,19.0,0.005,0.008,0.859,43.723,-79.33,2,40 to 44,Dry,Clear,Daylight,No Control,Following too Close,Normal,"Automobile, Station Wagon",4.0,1661.5
445,19.0,0.005,0.008,0.859,43.723,-79.33,2,50 to 54,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",0.0,1661.5
446,19.5,0.0475,0.044,0.49,43.723,-79.302,2,45 to 49,Dry,Other,Daylight,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1.0,1577.0
447,19.5,0.0475,0.044,0.49,43.723,-79.302,2,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Delivery Van,7.0,1577.0
448,34.0,0.017,0.045,0.497,43.726,-79.482,3,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,1795.6666666666667
449,34.0,0.017,0.045,0.497,43.726,-79.482,3,30 to 34,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,Passenger Van,5.0,1795.6666666666667
450,34.0,0.017,0.045,0.497,43.726,-79.482,3,60 to 64,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",7.0,1795.6666666666667
451,38.0,0.022,0.041,0.479,43.726,-79.457,3,15 to 19,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",5.0,994.6666666666666
